tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,postcode,zip_city,community board,borocode,borough,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council district,census tract,bin,bbl
661090,320888,08/11/2016,9,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,48-039 OCEANIA STREET,11364,Oakland Gardens,411,4,Queens,23,25,11,QN46,Bayside-Bayside Hills,4143500,New York,40.75337269,-73.7712512,1047626.806,213833.4175,23.0,1435.0,4158273.0,4073680056.0
488582,505905,11/30/2015,7,0,OnCurb,Alive,Fair,Quercus shumardii,Schumard's oak,,,Damage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,2505 CRESTON AVENUE,10468,Bronx,207,2,Bronx,14,78,33,BX05,Bedford Park-Fordham North,2040100,New York,40.8630867,-73.89794429,1012478.859,253739.8213,14.0,401.0,2013929.0,2031750001.0
356651,513044,10/21/2015,0,24,OnCurb,Stump,,,,,,,NYC Parks Staff,,No,No,No,No,No,No,No,No,No,2927 WALLACE AVENUE,10467,Bronx,211,2,Bronx,15,80,36,BX07,Bronxdale,2033800,New York,40.86876158,-73.86452961,1021718.237,255819.9284,15.0,338.0,2054866.0,2045480046.0
241017,105838,09/20/2015,3,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,3or4,Helpful,NoDamage,Volunteer,,No,No,No,No,No,No,No,No,No,358 EAST 51 STREET,10022,New York,106,1,Manhattan,4,73,28,MN19,Turtle Bay-East Midtown,1009800,New York,40.75465626,-73.96594647,993684.6507,214220.1484,4.0,98.0,1039614.0,1013430030.0
14124,509197,06/09/2015,14,0,OnCurb,Alive,Good,Pyrus calleryana,Callery pear,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,2789 SCHURZ AVENUE,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2013200,New York,40.81418391,-73.81883557,1034397.351,235958.1226,13.0,132.0,2081221.0,2055930094.0
317336,304564,10/13/2015,0,18,OnCurb,Stump,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,10-002 43 AVENUE,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4001900,New York,40.75206666,-73.94866249,998473.7878,213279.0072,26.0,19.0,4005261.0,4004550005.0
722277,600861,09/26/2016,20,0,OffsetFromCurb,Alive,Good,Pinus resinosa,red pine,,,NoDamage,TreesCount Staff,,No,No,No,No,No,No,No,No,No,72-055 PARK DRIVE EAST,11367,Flushing,408,4,Queens,24,27,15,QN37,Kew Gardens Hills,4038302,New York,40.72345341,-73.82700633,1032200.922,202897.4752,24.0,77902.0,4142269.0,4065790006.0
177554,202182,08/26/2015,7,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,1or2,,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,220 HENDRIX STREET,11207,Brooklyn,305,3,Brooklyn,37,55,18,BK82,East New York,3119800,New York,40.67702268,-73.89054098,1014611.34,185953.0008,37.0,1198.0,3327068.0,3039470005.0
627012,228302,07/14/2016,0,55,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1605 45 STREET,11204,Brooklyn,312,3,Brooklyn,44,48,17,BK88,Borough Park,3047600,New York,40.63314953,-73.98287705,989002.6276,169950.2868,44.0,476.0,3128405.0,3054320082.0
568330,333924,05/28/2016,5,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,,Damage,Volunteer,,No,No,No,No,No,No,No,No,No,100-031 BELLAIRE PLACE,11429,Queens Village,413,4,Queens,27,33,14,QN34,Queens Village,4051200,New York,40.71142491,-73.74959375,1053670.859,198567.0012,27.0,512.0,4232662.0,4108770114.0
